City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,0,NZ,1554661769,70,-46.19,168.86,-2.52,1.26
birao,0,CF,1554661769,20,10.3,22.78,29.53,2.56
college,1,US,1554661526,51,64.86,-147.8,5.56,2.6
hobart,20,AU,1554661516,61,-42.88,147.33,10,3.1
faya,0,SA,1554660000,77,18.39,42.45,20,2.1
bluff,0,AU,1554661474,86,-23.58,149.07,16.18,1.71
junin,0,PE,1554660000,42,-16.45,-71.58,19,5.1
vaini,0,IN,1554661771,81,15.34,74.49,22.58,1.21
almaznyy,0,RU,1554660000,50,48.03,40.04,12,5
haines junction,88,CA,1554661772,93,60.75,-137.51,-0.62,1.21
torbay,90,CA,1554661403,71,47.66,-52.73,2.22,7.7
thompson,90,CA,1554656400,52,55.74,-97.86,-9,5.7
oyama,75,JP,1554661562,66,36.31,139.8,15.56,8.2
albany,75,US,1554661705,42,42.65,-73.75,19.44,2.1
grand junction,1,US,1554660917,41,39.06,-108.55,16.11,1.51
coihaique,90,CL,1554660000,93,-45.58,-72.07,15,3.6
vila,75,IT,1554661764,76,45.18,8.4,11.11,2.1
jonkoping,0,SE,1554661504,60,57.78,14.16,8.89,3.6
latung,88,ID,1554661775,90,-8.45,120.42,22.93,1.26
busselton,0,AU,1554661512,56,-33.64,115.35,11.67,5.31
punta arenas,0,CL,1554660000,88,-53.16,-70.91,9,6.7
cabo san lucas,5,MX,1554661058,57,22.89,-109.91,27.78,2.6
ancud,75,CL,1554660000,77,-41.87,-73.83,18,5.7
ponta do sol,92,BR,1554661776,97,-20.63,-46,21.18,2.21
vanimo,68,PG,1554661776,100,-2.67,141.3,27.43,3.76
baturaja,88,ID,1554661777,99,-4.12,104.17,22.43,1.61
arraial do cabo,0,BR,1554660000,74,-22.97,-42.02,34,4.1
faanui,24,PF,1554661777,98,-16.48,-151.75,29.63,7.96
ushuaia,75,AR,1554660000,75,-54.81,-68.31,6,12.3
la primavera,0,AR,1554660000,20,-32.92,-68.67,28,4.1
atuona,20,PF,1554661778,97,-9.8,-139.03,28.28,7.21
oloron-sainte-marie,75,FR,1554661594,76,43.19,-0.61,14.44,2.6
cajamarca,75,PE,1554660000,63,-7.16,-78.52,17,1.5
castro,75,CL,1554660000,77,-42.48,-73.76,18,5.7
teguldet,24,RU,1554661780,86,57.31,88.17,-5.22,2.31
yeppoon,0,AU,1554660000,82,-23.13,150.74,19,3.16
half moon bay,90,US,1554661777,82,37.46,-122.43,20.56,1.66
saskylakh,8,RU,1554661781,75,71.97,114.09,-10.47,5.01
ripoll,40,ES,1554661747,81,42.2,2.19,12.78,1.5
petauke,56,ZM,1554661781,49,-14.25,31.33,27.18,4.96
bardejov,0,SK,1554661647,58,49.29,21.28,14,0.5
